full_text,class
@detikcom Ayo demo setiap hari ..biar suara kita di dengar bila mana perlu perkantoran tutup negeri atau swasta...ayo pak anies,1
"@liputan6dotcom Pura2 aja kalian itu, sejati kalian itu sama, mau Ganjar mau Prabowo sebenarnya satu misi satu bossâ€¦Insya Allah Anies RI.1 Aamiinn",2
@RagilSemar @JokoLipService @Gamal_Albinsaid Yuk bisa yukâ€¦jangan sampe DKI setelah era pak Anies mengalami kemunduran kembali sepeti saat ini dipegang gubernur give away,1
@yunartowijaya Anies sama Ganjar masuk putaran ke 2 kayanya. Pemilih Prabowo terpecah 2 ada yang ke Anies ada yang ke Ganjar,0
"@nongandah @saidiman @saifulmujani Bgtu angkanya 50% ke atas pd gumbira krn takut kalo isu nepotisme, politik dinasti, ketidaknetralan &amp  demokrasi yg mendung jd isu bersama Ganjar &amp  Anies.",0
"@nieke_olivia Mari fokus pada penyebaran program dan rekam jejak Pak Anies, tidak perlu kampanye negatif. Fokus kepada Pak Anies, bukan ke yang lain.",2
Arab Saudi menjaga Israel  Ayo wahaboy jilat terus pantat Bani Saud @Geyelicius @fotodakwah,1
"Dulu sebelum putusan MK soal usia Capres/Cawapres  publik dipecah antara yg pro JKW dg tema keberlanjutan (Ganjar dan Prabowo) melawan yg antitesa JKW perubahan (Anies)  nanti tema itu berubah, saat ini gejalanya sih sudah terasa  ini penting utk melihat peta pilpres putaran2",0
Anies Baswedan Ajak Jemaah Haul Habib Ali Al-Habsyi di Solo Doakan Palestina https://t.co/YtwkuMdJhx,2
@Chaves1305 Paaaajooooohhhhhâ€¦.Insya Allah Anies RI.1,2
@andre_rosiade @saifulmujani Apa yg di ucapkan RG benar adanya anies melalui survei dbawah 20%ðŸ˜,1
"@kencana42106058 @DoankWarto Prabowor memang asli indonesia ?  Ayahnya Chinese, bahkan pernah melarikan diri dari indonesia karena terlibat pemberontakan PRRI.. benar, Anies keturunan Arab dan Ibunya seorang Sundanesse, tapi kakeknya anggota BPUPKI yang menyiapkan kemerdekaan Indonesia. Seorang Pahlawan.",1
"@umam27642118 @mohmahfudmd Siapa? Anies dan ganjar sudah Enggak menjabat. Tinggal @prabowo dan @mohmahfudmd . Kapan kalian mundur dari menteri, biar pilpres jurdil.",0
@Azri_Ardhani Ini yg tau saja..blm org yg tdk tau terus dikasih tau kalo pak Anies mau datang uwahhhhhhh..bisa gak muat itu gedung tumpah ruwah,2
"Pidato Anies utk Palestina   Pernahkan ibu2 bayangkan, Ibu melahirkan seorang anak juga menguburkan anak tsb. Bapak2 pernahkah membayangkan Bapak yg adzankan anak ketika lahir &amp  jg adzankan ketika anak itu mati ?? Itu yang terjadi saat ini di Palestina.   #FreePalestine ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ https://t.co/z1dSD62mz8",2
@choymarkochoy @erickthohir @KPU_ID @sobat_anies @yacoblaw2323 @Obay_Kusut1981 @satriohendri @Heraloebss @msaid_didu Itu meja badhogan semua ya . Untal semuanya ya toink. Besok juga jadi tokay bau...disgusting,1
@choymarkochoy @erickthohir @KPU_ID @sobat_anies @yacoblaw2323 @Obay_Kusut1981 @satriohendri @Heraloebss @msaid_didu Sama2 gemoy,1
"@aniesbaswedan Semoga Allah meridhoi keinginan kita. In syaa Allah  abdi"" harus mensukseskan hajat ente agan Anies. AMIN. !!!!""",2
"@mharisman @ismailfahmi Salah. Anies gak pernah shifting. Dari dulu emang liberal. Citra muslim konservatif"" kan framming yg dilakukan musuh dan pendukungnya Anies.""",1
Hanya Anies yang bisa selamatkan NKRI.. https://t.co/og0gaas5wZ,2
"Live Streaming Aksi Akbar Bela Palestina di Monas, Jakarta akan dihadiri 2 juta orang, ada Menteri Luar Negeri hingga Anies Baswedan.  #TribunKaltim #AksiAkbarBelaPalestina #Palestina #Palestine #Monas   https://t.co/oJDjTFBdgX lewat @tribunnews",0
"@Judakusumah1 @Menlu_RI @YaqutCQoumas @cholilnafis @YahyaCStaquf @HaedarNs @mohmahfudmd @aniesbaswedan @cakimiNOW https://t.co/LBza6VzQhc O iya, betul. Bu Menlu Retno hadir, juga ada Menag dan P Anies.",0
blunder tim anies ya milih dia jadi wakil..yang bikin gw masih golput sampe sekarang,1
@sobat_anies Keliru sekali... sama menjauhi rakyat,1
@BahrudinHm @DoankWarto @ganjarpranowo @mohmahfudmd Siapakah yg menentang kedatangan timnas Israel ke Indonesia.  Anies  ??? Bukan  Prabowo??? Bukan  Ganjar???  Ya dialah Ganjar Pranowo yg dengan lantang menentang kedatangan timnas Israel ke Indonesia sehingga dia dihujat oleh musuh2nya   Paham ya,1
"@KompasTV Waktu berbeda politik dg anies saja PDIP dan kader menyerang dari berbagai sisi, sedang kini jokowi terang terangan menabuh genderang perang dg PDIP dan organisasi politik itu lunglai tak berdaya, dan hancur.",1
"@DoankWarto ngapain bahas Anies gak penting ðŸ¤£, yg penting hari ini para pembenci SUDAHKAH HARI INI NONTON BOKEP"" ðŸ‘""",1
"@BiLLRaY2019 Pantesan demen banget menyerang prabowo &amp  anies, ternyata antek2 banteng toh ðŸ«¡ðŸ˜‚ðŸ˜‚ðŸ˜‚",1
@muhammadsyakur2 @andre_rosiade @saifulmujani And pendukung Anies ngga akan milih Ganjar juga ðŸ˜‚,0
Politisi Cantik Beberkan Sosok Anies Baswedan Sebenarnya: Bertemunya Saat SMA https://t.co/WBRV3wVyi5,0
"@NasDem AYO SIAPA YG MW HADIAH INI DGN SYARAT MW DI KLAIM SBG MASSA ANIES, BIAR KLO KALAH NANTO ADA ARGUMEN CURANG!!!! https://t.co/OuRYvFQtN8",1
"Ada kawanÂ² SPSI, Hidup Buruuuh âœŠðŸ¼âœŠðŸ¼âœŠðŸ¼ Buruh bersatu tak bisa dikalahkan  Terlihat Anies Baswedan juga dipanggung",1
"@MkomEliya @aniesbaswedan Lah kok bandingin aksi Palestina dgn Aksi Politik. Nggak punya hati lu. Ini kan agenda bersama, Puan aja kabarnya ikut. Udahlah mau ngomong apapun Fondasi 212 itu masa PKS dan FPI. PKS udah ke Anies, FPI sudah jelas tidak ke Ganjar ataupun Bowo. Tinggal tunggu waktunya saja ðŸ¤ªðŸ˜",1
"@mrsasaky @dungu_kadrun @GeiszChalifah kayaknya yg dia sebut banyakan benernya, bebrapa diantaranya program unggulan anies kan?, anies janji tidak gusur eh gusur juga, belum lagi kasus lebih bayar bukan cmn 1-2 kasus..., normalisasi sungai yg diubah jadi naturalisasi sungai? ada data eksekusinya?",2
"@BangPino__ Kalau melihat rekam jejak perjalanan dan sambutan yang di dapat pak Anies Baswedan, hanya satu yang bisa mengalahkannya dalam pilpres 2024 nanti siapa itu ? Siapa lagi kalau bukan Mahkamah Keluarga ðŸ¤£ðŸ¤£ðŸ¤£",1
Ada yang mendukung psk Anies di Solo ya...,1
@Dulur_sempulur @detikcom Anies sudah bicara soal Palestina sejak lama  Nih baca berita tahun 2010  https://t.co/7jV7wCAyCu,2
@Ojoklalenya @jokowi @KPK_RI Dari sejak kasus si anies formula E   @KPK_RI emx musti di reshuffle,1
"Puji Anies Baswedan sebagai Pemimpin Masa Depan, Tokoh Muhammadiyah Optimistis Menang di Kandang Banteng #AniesMuhaimin2024 #AniesInspiratif #RMOL https://t.co/3f8ZMPACfK",2
@sobat_anies @andre_rosiade Ini loh anak kecilnya https://t.co/br7nt5TAbh,0
"Di Kandang Gibran, Anies Ajak Warga Solo Pilih Perubahan https://t.co/allLWNp4iY",2
"@Andria75777 kalo Anies menang, nih orang pasti jadi gembel",1
"Anies Ajak Relawannya Targetkan Menang Besar di Kota Solo   Anies Baswedan mengatakan penguasa musuh demokrasi menebar ketakutan, mari hilangkan rasa takut, kita lawan!""  https://t.co/tnIKR6ZtvR  https://t.co/tnIKR6ZtvR""",2
"@imambasor1 @kholidamril @ismailfahmi Lengkap sudah cita2 nasakom nya pak sukarno, tinggal tambahin kapitalisnya aja supaya sejalan sama idiologi nwo-nya. Jadi nasalibkom (nasionalis, agamis, liberalis, komunis). 4 in 1 ðŸ˜‚ Diborong semua sama pak anies ðŸ˜‚",1
"@anwar95866730 @detikcom Lah salahin Jokowi yg jadi presiden dong, kok malah salahin Anies?",2
"@aniesbaswedan @BosPurwa Konspirasi palestina mengorbankan anak2 kecil menjadi martir demi mendukung pencalonan anies menjadi capres di indonesia,",1
@AhmadMuhammd Ciee galau,0
"@ramadhank1440 @dinopattidjalal Selama Anies masih dbawah ketek Suryo Paloh dan bersama Imin kardus durian, tidak akan ada perubahan &amp  perbaikan berarti, tdk ada gunanya sby ahy bergabung balik dng mrk, track record paloh &amp  imin sdh jelas ðŸ‘ŽðŸ‘Ž",1
"@sandiuno ..waktu sisa ini coba mas Menteri bangun project yg duar gitu, misal bangun sebuah hub utk ekonomi kreatif. Model bisnisnya misal duplikasi dari Uniqlo atau Miniso dan mulai di Jakarta dan Bali, kolab dng kemenBUMN, Keu, Bangdes, Dikti. Anies yg cuma stadion aja bisa jualan ðŸ˜€",1
"Puji Anies Baswedan sebagai Pemimpin Masa Depan, Tokoh Muhammadiyah Optimistis Menang di Kandang Banteng https://t.co/I42WAQiWY6",2
"@itsbinbinnn @shitlicious Waaah menarik wkwk, pak Prabowo dengan wakilnya yg dianggap masih muda"" pak Ganjar dengan wakilnya yg ""superior"" dan pak Anies dengan wakilnya yg ""kontroversi"" haha""",0
"@hasyimmah Kalau ingin Indonesia berubah, pilih Anies-Imin  Kalau ingin Indonesia miskin, pilih Ganjar-Mahfud  Kalau ingin Indonesia maju, pilih Prabowo-Gibran",1
Subhanallah banyak juga pendukung pak Anies di Solo yaa....â˜ï¸ðŸ˜ƒ,2
@sobat_anies Solo nih loh ya Alhamdulillah AMIN,2
"@elkrova Selama hampir 2 peroide jkw jg gk ada terobosan signifikan buat imb gerejaÂ² katolik yg lama terbengkalai. Jujur seburukÂ²nya msh mending anies, bisa ada satu gereja katolik dki yg kebangun, walau pakai akalÂ²an kucurin dana ormas biar yg biasa protes pembangunan gereja mingkem.",2
@ekowboy2 Qodari sudah grogi.  Ini tanda2nya Anies akan menang dalam 1putaran,2
@GeiszChalifah @satriamadang88 karena menurut anda anies tidak zalim?,1
"@Omnya_Gibran Hanya Orang Sholeh dan Cerdas yg bisa bikin NKRI Gemilang dan maju.... Go ahead Pak Anies Baswedan. Kita golongan orang waras yg objektif, punya nalar dan logika!!",2
@kumparan Fokus hadapi Prabowo-Gibran tp malah digebuk Anies-Imin,2
"Dari alam bawah sadar anda tertulis prabowo presiden, gerindra menang, yg artinya gerindra akan jadi penguasa tanpa butuh partai pendukung lainnya seperti golkar, pan perindo dll.  #AMINAjaDulu  #AniesMuhaimin2024 Anies presiden, rakyat menang!!",2
Dokter @Lisaamartatara6 ini contoh dokter yang rusak gara2 copras capres. Tahun 2019 dia pendukung Prabowo. Tahun sekarang dia mendukung Anies. Rusak logikanya gara2 dukung Anies. Padahal kan tinggal googling aja ketahuan AQ sudah mundur dari Demokrat sejak 2014. Memalukan!,1
@detikcom Nanti anies orasi gak ya,2
"Jk undecided voters (12,8%) survei SMRC terbaru didistribusikan sesuai % masing2 pasangan, hasilnya Prabowo-Gibran menang 1 putaran. Perhitungannya:  - Prabowo-Gibran = 45,3% + 5,824% = 51,124% - Ganjar-Mahfud = 22,9% + 2,891% = 25,791% - Anies-Muhaimin = 19% + 2,432% = 21,432% https://t.co/C9pu13XTjr",2
"Banyak yg akan milih Prabowo krn memang suka sama Prabowo, bukan krn siapa cawapresnya. Bahkan dipasangkan dengan sendal jepit pun tetap milih Prabowo. Hal serupa pun berlaku di antara mereka yg akan milih Ganjar atau Anies.",0
@YRadianto Takut demokrat kejadian sm anies sdh pajang baliho anies eh berakhir diturunkan bgt jg dgn gibran..jgn2 nanti jg di turunkan cara aman jgn ada foto gibranðŸ¤”ðŸ˜‚,1
@aadhmusic @puanmaharani_ri Rapatkan barisan memenangkan Anies Muhaimin,2
"@never_alonely Jadi pemimpin itu ga hanya harus pintar tapi juga cerdas, berani, dan punya nurani. Hukuman ini jelas menunjukkan pimpinan PSSI ga cerdas, ga berani, dan ga punya nurani. wawasannya kalah sama kelas supporter bola. Dah lah kita reformasi aja lagi setelah ganti dgn rezim pak Anies",1
In Syaa Allah..asal tidak curang Anies menang.,2
https://t.co/vXQkC9HDZk                                   *Subhanalloh...*                                    Sukses besar..!!!                   ðŸ‘ðŸ˜ŠðŸ’ª.                            Beginilah kenyataanya ketika pak Anies kunjungan ke Solo,2
"@AkuSend70955060 @moechlissinna @danielht2009 @Dennysiregar7 Si P(e)anies, sungguh AMIS, kardus durian ðŸ˜",1
@aniesbaswedan @feryfarhati MasyaAllah BarokaAllah RidhaAllah pak anies ðŸ™ðŸ˜­ðŸ˜­ðŸ™ ...,2
"Beda Hasil Survei Elektabilitas Prabowo, Ganjar, Anies Bulan Juli - CNN Indonesia https://t.co/lHahHfAbF2 #Jokowinomics #BersamaPrabowo #MenataMasaDepan",0
"@P3n99u94t_ MasyaAllah BarokaAllah TabarokAllah pak anies, aamiin yaa Robbalalamin yaa mujibal hajad...",2
"Anies Sejak Dulu Mendukung Kemerdekaan Palestina. Yang Ngaku2 Paling NKRI malah membela Israel, Sang Penjajah, tidak mengerti isi Pembukaan UUD 1945 https://t.co/RpdmUdz4U6",2
"Meminimalisir Kecurangan, Anies Tantang Warga Solo Raya Menangkan Amin secara Mutlak https://t.co/niftUBAcby",2
@BosPurwa @ridwankamil Emil harus mencontoh Anies. Tanpa ikut partai tapi didorong parpol utk nyapres. Tamatlah karir politik dan sosial Emil.,2
@ajengcute16__ Anies tampil di Monas Minggu. Dan diberbagai tempat di daerah sudah menyerukan kemerdekaan Palestina lebih dulu,2
@_BungHerwin Wkwkwk.... Harusnya ini menjadi acaranya ganjar. Anies memang ga ada akhlak.,1
@bengkeldodo @P4P4B0W0_2024 @99propaganda @Ndons_Back @are_inismyname @adri_7i @Abaaah @Affan79992133 @florieliciouss @NilaWati375469 @mimih6mei Whattt wkt pildun U-20 yg lain mana bersuara? Hanya Ganjar yg berani menolak. Krn Ganjar konsisten tdk hanya dukung palestina saat perang tp saat damai pun. Skrg krn kepentingan politik baru prabowo dan anies bicara,1
@musniumar Betul mus....sm dg monumen x anies...bambu mesem...sepatu dhasmu....pohn plastik....pohon kontolmu,1
@YRadianto Cie Cie Cebong Makin Ketakukan Junjungan nya Keok wkwkkwkwkw,1
@sobat_anies @NajwaShihab @susipudjiastuti @aniesbaswedan @cakimiNOW Najwa ga akan mau.. buk susi bisa jadi,0
"@MissKoral @joserasyid @aniesbaswedan Nah kalo ini gurunya pak anies baru kita percaya, gak seperti yg kemarin usianya sama muridnya... Kan bloon.",2
@ekowboy2 Goblog... Muhammad hatta koq mau disamain sama anies sih.. Gak usah lebay deh kunyuk!! Muja muji yg normal normal aja deh... Gak usah terlalu se BABI itu boy....!!!!! Ingat gak usah se BABI itu!!!,1
"@sobat_anies Panik gak, panik gak, ya panik",1
@MissKoral @aniesbaswedan Wuiihh mantab calon presiden kita. Berani datang di kandang Dinasti Politik dgn sambutan yg luar biasa melubernya. Go pak Anies gooo... Akhirnya kami berbangga hati akan mendapat presiden yg cakap dlm semua halðŸ‘ðŸ‘,2
"@Kimberley_2024 Jubir PKB asal mangap saja negara kaya minyak saja rakyatnya harus beli, lah Indonesia negara sudah gak punya tambang minyak mau gratiskan BBM itu namanya bunuh diri dan omongan itu maksudnya untuk menjatuhkan kredibilitas Anies Baswedan dan Muhaimin Iskandar",1
@sobat_anies MENANG SATU PUTARAN,2
Anies Baswedan Bocorkan Tak Ada Tamu yang Datang Bertemu Surya Paloh Sej... https://t.co/KIVvR1IaG7 lewat @YouTube,2
Ustadz Eka Jaya terkenal dekat dengan Pak @aniesbaswedan dan selalu terdepan membela Pak Anies. bahkan saat Pak Anies diperiksa KPK.   beliau dan pasukannya turut mengawal disekitaran gedung KPK. lantas Ustadz Eka Jaya dapat apa dari Pak anies ?,1
"@abu_waras @aniesbaswedan @ganjarpranowo Pk anies,dong,,,pk anies waktu jadi gubernur dki,,suka beli beras lokal untuk bantuan covid,,kerenkan.",2
"@geloraco akibat baperan dan memfitnah Anies, terima nasib dislepet bocil, bonus reunian sama pembegal ðŸ˜‚ðŸ¤£",1
"@BosPurwa @aniesbaswedan @cakimiNOW Pak Anies pinter banget sih,pak? Jadi presiden yah pak. Biar punya presiden yg pinter gitu.",2
"setelah menang sebagai Gubernur, siapa yang dapat keuntungan. Alumni 212 sebagai tulang punggung kemenangan Pak @aniesbaswedan justru terkesan dibuang dan ditinggalkan.  bahkan saat reuni 212 dimana Ustadz Eka Jaya menjadi Ketua Pelaksanannya. Pak Anies malah tak beri rekomendasi",1
"@03__nakula Pendukung Prabowo tdk pernah hina p Jokowi dlm 5 thn ini. Yg menghina itu pendukung Anies, dan skr pastinya jg pendukung Pdip.",1
"Pak @aniesbaswedan menang di Pilkada DKI Jakarta karena TAKBIR seluruh Peserta 212.   dan sekarang pak anies sudah meninggalkan dan menanggalkan hal itu, yang dapat diartikan menanggalkan baju kemenangan.",2
@UmarSyadatHsb__ Setelah dukung anies km malah semakin stres pak,1
"@andre_rosiade @saifulmujani dan perlu diingat, pendukung Anies dan Ganjar yg ga memilih prabowo itu pendukung militan, yg hampir tidak mungkin memilih pasangan Prabowo - Gibran, pendukung Anies dihianati Prabowo, pendukung Ganjar dihianati Jokowi..",2
"Kalau itu kata survey , bisa COD kang survey nya   SHAME ON YOU Saudi Kekecewaan Tokoh Keluarin RS Indonesia Anies Israhell https://t.co/RzKjOSRKZY",1
"@Muhamma38221971 @perssepssi_ @seruanhl @ganjarpranowo @mohmahfudmd Saya mengajak seluruh rakyat Indonesia, termasuk pendukung Ganjar-Mahfud &amp  Prabowo-Gibran, sama2 gunakan hati nurani &amp  akal sehat untuk memilih Anies-Muhaimin..AMIN.. untuk Indonesia yg lebih baik &amp  bebas KKN.. #AMINAjaDulu",2
@WagimanDeep212_ Yg pekok lari ke anies,1
Anies Baswedan Kembali Raih Penghargaan Transportasi Tingkat International https://t.co/SlFJ0lCJWP,2
"@sobat_anies @andre_rosiade Kita merindukan Pahlawan"" dari Gol 1. Tukang Survey 2. Pejabat Hukum 3. DPR 4. Media 5. Sodagar Sepertinya semua ada di Palestina ya ? Kita bawa canda aja""",1
"@ezash Di bawah pejabat siapa yang bikin? Anies atau Heru?  Biasanya klo Anies yang bikin, berita gini digoreng sebulan penuh.",2
"@Heindrahayyun1 @DoankWarto Tapi hobi peluk bini orang dan itu di bolehkan bahkan di puja2..makanya bikin patung bambu mesum, suka ganti nama, lobangin jalan biar banyak mobil rakyat nyungsep adalah karya Anies yg selalu  diingat Rakyat...",1
"@AbanggSayur Kl ganjar sebenarnya gak sih, krn jkw dah gak dinilai sama elite2 pdip... mrk misuh2 terus, sampe nyebut2 istilahnya hehe... Makanya prabs hrs menang, kl sampe ganjar naek, abis jkw... dendam maknyak itu berat.  Yg aman kl anies naek, jkw &amp  fams tetap aman....",2
@Aryprasetyo85 Knp Cebong pada panik n ketakutan yah wkwkwkkw....Kasihan Cebong makin ketakukan junjungan nya keok,1
Dapatkan frame ini melalui https://t.co/Z3yUjT0i5R #RajaFrame #amin-anies-baswedan-muhaimin-iskandar-capres-cawapres-2024-4 https://t.co/wARr1ytRD3,0
"Sampaikan Orasi, Anies Baswedan Sebut Jika Menang di Solo se-Indonesia Bergetar https://t.co/eXxuQfAv3p https://t.co/eXxuQfAv3p",2
Anies dan Ganjar Akan Head to Head Jika Gibran Dibatalkan Jadi Cawapres Prabowo https://t.co/ZKIKIKAPn3 https://t.co/ZKIKIKAPn3,0
@sobat_anies @andre_rosiade Tanggung amat tambahin lah 5% ...hhh,1
"@aniesbaswedan MASYAALLAH TABAROKAALLAH pak anies sdh cakep cakap n amanah INSYAALLAH, ngapain pilih yg buruk rupa jahat kejam raja tega bengiz n tukang ngibul pula, AstagfiruLlahaladzim naudzubillahi...",2
Anies Baswedan Sampaikan Orasi Kebangsaan bagi Warga Muhammadiyah Solo Raya https://t.co/npDlAfAEj2,2
Anies atau Prabowo jadikan JJ Rizal jubir plis,2
@ch_chotimah2 @ganjarpranowo @mohmahfudmd Pendukung YAMAN ANIES DAN KAKEK BOWOK pada kepanasan ðŸ¤ªðŸ¤ªðŸ¤ªðŸ¤ªðŸ¤ª,1
@mkurnia1 @ch_chotimah2 @ganjarpranowo @mohmahfudmd Yg punya agenda itu si Anies Yaman,1
@ch_chotimah2 Prabowo vs Ganjar... Kalah jadi abu menang jadi arang.. Anies jadi Presiden...,2
"Anies menyemai pemikiran, menempatkan harapan dan menggelorakan semangat untuk menggapainya.  Kini bibit2 itu mulai tumbuh dan berkembang, ada yg sudah berbunga dan tecipta bibit2 baru yg semakin menyebar dan begitu banyak bibit2 yg tumbuh. Ketika Anies datang disambut lebihâ€¦",2
@JaenoXTM @MIrvanDarwin1 @prabowo @florieliciouss @Chaves1305 @lettachantik @cocolatetwo Cari tahu sendiri dong.. katanya pendukung Anies cerdas semua ðŸ˜„,1
@andre_rosiade PKS MENANG ANIES PRESIDEN,2
@CahKeren212 @03__nakula Halah...kayak pak Anies bisa lolos aja.... ðŸ˜…ðŸ˜‚ðŸ¤£,1
Anies Ajak Masyarakat Berdoa Bersama dalam Aksi Bela Palestina Di Monas https://t.co/qM8dan9BAR,2
@aniesbaswedan Sudah saya bilang berulangkali... Mulutmu terlalu cepat melebihi otak dan tindakan/perbuatan...  Kurang2i lah pak Anies... Jijik orang2 dengan cara2 seperti itu...  Pemerintah sudah berbuat.. Anda ngapain aja..??? Ngoceh2 gak jelas..  https://t.co/phoBR1WjSE,1
@OnlyFrens Tiada hari tanpa bahas Anies ya gal,1
@sobat_anies 3. Langkah TOLOL,1
"@moechlissinna @danielht2009 @Dennysiregar7 Ealah, malah duo ini.. kasusnya anies dan imin aja msh berproses di KPK. Pilpres selesai, mereka berdua bakal dipakein rompi orange KPK. Masuk penjara..",1
"#Untuk_Pelupa Cawapres Gibran Tidak Menodai Pesta Demokrasi  Yang suka Gibran silahkan pilih dan coblos  Yg suka p Ganjar,Anies silahkan pilih dan coblos  Kebebasan pilihan rakyat secara Demokrasi tidak ternodai  Pemilih disuappun kalau pesta demokrasi tidak ternoda, apa salahnya",0
"SMRC (31Okt-3Nov): Elektabilitas Ganjar-Mahfud merosot (-3,2%), Prabowo-Gibran naik tajam (+9,6%): Anies-Muhaimin 19% Ganjar-Mahfud 22,9% Prabowo-Gibran 45,3%  Versi LSI (16-18Okt): Anies-Muhaimin 19,6% Ganjar-Mahfud 26,1% Prabowo-Gibran 35,9%  Pemilih ragu berpaling ke PS-GRR https://t.co/FhRNSCRxAQ",2
Anies Baswedan Tegaskan Bila Pasangan AMIN Menang di Solo  Indonesia Bakal Bergetar  Ini Statemennya https://t.co/C1QxW1f1Iz,2
"Kasihan bapak tua yg berbaju merah ini, sdh mengulurkan tangan ingin bersalaman dng ANIES  BASWEDAN tapi tidak ditanggapi dan dicuekin. Mana rasa hormat terhadap orang tua ?",1
@puanmaharani_ri Jawa Timur inginkan perubahan ke arah lebih baik. Ayo kita dukung dan menangkan semoga Anies menang 1 putaran. #AniesMuhaimin2024 #AMINAjaDulu,2
"Saat Pak Anies sampaikan Orasi kebangsaan di Universitas Muhamadiyah Surakarta bergaung semangat Perubahan, ribuan warga solo raya memadati auditorium UMS utk bertemu &amp  mendengarkan orasi kebangsaan Pak Anies Baswedan. https://t.co/esv0x4WeIw",2
"Sampaikan Orasi, Anies Baswedan Sebut Jika Menang di Solo se-Indonesia Bergetar https://t.co/4LDtfCvfLP",2
"@xxxchuaxiangu Gw haters orang yg nyeleneh, wkwkkw si Ganjar SM Anies kan masih blm neko2 wkskk  Btw udh kespill kok pilihan gw",1
"@kumparan Apakah anda akan tetap mencaci Ganjar, jika piala dunia u17 dilaksanakan di Indonesia bulan November ini?  Waktu itu, dimana suara Anies-Muhaimin dan Prabowo? https://t.co/6JEl6Ovjad",1
@sobat_anies Bakal normalisasi dg Isra Hell kalau ybs menang,1
@JanganJadiPaok @jokowi ANIES jagonya kalau masalah ini,0
Anies optimistis aspirasi perubahan makin kuat di Solo https://t.co/9oHH4obm9L,2
@alisyarief Tetap saja gratifikasi karena keinginan mentersangkan Anies?,1
Anies dan Ganjar Akan Head to Head Jika Gibran Dibatalkan Jadi Cawapres Prabowo https://t.co/AsXpfHM0C4,2
jangan jangan anies juga muka dua. https://t.co/t4ILt0v2ZN,1
"@ezash Ini kalo gak salah di jaman anies gak mau dilanjutin sama blio, ternyata emang problematik proyeknya!",1
"@DoankWarto Pk anies muslim yg taat ,,yg jauh dari maksiat ,seperti nonton bokep,ngusir rakyat seperti di wadas,solo, itu haram buat pk anies kalu s lakukan,,,lu kafir komunis apa muslim sih,?warto",2
